,display_name,name
000001.XSHE,平安银行,PAYH
000002.XSHE,万科A,WKA
000004.XSHE,国华网安,GHWA
000005.XSHE,ST星源,STXY
000006.XSHE,深振业A,SZYA
000007.XSHE,*ST全新,*STQX
000008.XSHE,神州高铁,SZGT
000009.XSHE,中国宝安,ZGBA
000010.XSHE,美丽生态,MLST
000011.XSHE,深物业A,SWYA
000012.XSHE,南玻A,NBA
000014.XSHE,沙河股份,SHGF
000016.XSHE,深康佳A,SKJA
000017.XSHE,深中华A,SZHA
000018.XSHE,神城A退,SCAT
000019.XSHE,深粮控股,SLKG
000020.XSHE,深华发A,SHFA
000021.XSHE,深科技,SKJ
000022.XSHE,深赤湾A,SCWA
000023.XSHE,深天地A,STDA
000024.XSHE,招商地产,ZSDC
000025.XSHE,特力A,TLA
000026.XSHE,飞亚达,FYD
000027.XSHE,深圳能源,SZNY
000028.XSHE,国药一致,GYYZ
000029.XSHE,深深房A,SSFA
000030.XSHE,富奥股份,FAGF
000031.XSHE,大悦城,DYC
000032.XSHE,深桑达A,SSDA
000033.XSHE,新都退,XDT
000034.XSHE,神州数码,SZSM
000035.XSHE,中国天楹,ZGTY
000036.XSHE,华联控股,HLKG
000037.XSHE,深南电A,SNDA
000038.XSHE,深大通,SDT
000039.XSHE,中集集团,ZJJT
000040.XSHE,东旭蓝天,DXLT
000042.XSHE,中洲控股,ZZKG
000043.XSHE,中航善达,ZHSD
000045.XSHE,深纺织A,SFZA
000046.XSHE,泛海控股,FHKG
000048.XSHE,京基智农,JJZN
000049.XSHE,德赛电池,DSDC
000050.XSHE,深天马A,STMA
000055.XSHE,方大集团,FDJT
000056.XSHE,皇庭国际,HTGJ
000058.XSHE,深赛格,SSG
000059.XSHE,华锦股份,HJGF
000060.XSHE,中金岭南,ZJLN
000061.XSHE,农产品,NCP
000062.XSHE,深圳华强,SZHQ
000063.XSHE,中兴通讯,ZXTX
000065.XSHE,北方国际,BFGJ
000066.XSHE,中国长城,ZGCC
000068.XSHE,华控赛格,HKSG
000069.XSHE,华侨城A,HQCA
000070.XSHE,特发信息,TFXX
000078.XSHE,海王生物,HWSW
000088.XSHE,盐田港,YTG
000089.XSHE,深圳机场,SZJC
000090.XSHE,天健集团,TJJT
000096.XSHE,广聚能源,GJNY
000099.XSHE,中信海直,ZXHZ
000100.XSHE,TCL科技,TCLKJ
000150.XSHE,宜华健康,YHJK
000151.XSHE,中成股份,ZCGF
000153.XSHE,丰原药业,FYYY
000155.XSHE,川能动力,CNDL
000156.XSHE,华数传媒,HSCM
000157.XSHE,中联重科,ZLZK
000158.XSHE,常山北明,CSBM
000159.XSHE,国际实业,GJSY
000166.XSHE,申万宏源,SWHY
000301.XSHE,东方盛虹,DFSH
000333.XSHE,美的集团,MDJT
000338.XSHE,潍柴动力,WCDL
000400.XSHE,许继电气,XJDQ
000401.XSHE,冀东水泥,JDSN
000402.XSHE,金融街,JRJ
000403.XSHE,派林生物,PLSW
000404.XSHE,长虹华意,CHHY
000406.XSHE,石油大明,SYDM
000407.XSHE,胜利股份,SLGF
000408.XSHE,藏格矿业,CGKY
000409.XSHE,云鼎科技,YDKJ
000410.XSHE,ST沈机,STSJ
000411.XSHE,英特集团,YTJT
000413.XSHE,东旭光电,DXGD
000415.XSHE,渤海租赁,BHZL
000416.XSHE,民生控股,MSKG
000417.XSHE,合肥百货,HFBH
000418.XSHE,小天鹅A,XTEA
000419.XSHE,通程控股,TCKG
000420.XSHE,吉林化纤,JLHX
000421.XSHE,南京公用,NJGY
000422.XSHE,湖北宜化,HBYH
000423.XSHE,东阿阿胶,DEEJ
000425.XSHE,徐工机械,XGJX
000426.XSHE,兴业矿业,XYKY
000428.XSHE,华天酒店,HTJD
000429.XSHE,粤高速A,YGSA
000430.XSHE,张家界,ZJJ
000488.XSHE,晨鸣纸业,CMZY
000498.XSHE,山东路桥,SDLQ
000501.XSHE,鄂武商A,EWSA
000502.XSHE,*ST绿景,*STLJ
000503.XSHE,国新健康,GXJK
000504.XSHE,南华生物,NHSW
000505.XSHE,京粮控股,JLKG
000506.XSHE,中润资源,ZRZY
000507.XSHE,珠海港,ZHG
000509.XSHE,*ST华塑,*STHS
000510.XSHE,新金路,XJL
000511.XSHE,烯碳退,XTT
000513.XSHE,丽珠集团,LZJT
000514.XSHE,渝开发,YKF
000515.XSHE,攀渝钛业,PYTY
000516.XSHE,ST国医,STGY
000517.XSHE,荣安地产,RADC
000518.XSHE,四环生物,SHSW
000519.XSHE,中兵红箭,ZBHJ
000520.XSHE,长航凤凰,CHFH
000521.XSHE,长虹美菱,CHML
000522.XSHE,白云山A,BYSA
000523.XSHE,*ST浪奇,*STLQ
000524.XSHE,岭南控股,LNKG
000525.XSHE,ST红太阳,STHTY
000526.XSHE,学大教育,XDJY
000527.XSHE,美的电器,MDDQ
000528.XSHE,柳工,LG
000529.XSHE,广弘控股,GHKG
000530.XSHE,冰山冷热,BSLR
000531.XSHE,穗恒运A,SHYA
000532.XSHE,华金资本,HJZB
000533.XSHE,顺钠股份,SNGF
000534.XSHE,万泽股份,WZGF
000535.XSHE,*ST猴王,*STHW
000536.XSHE,华映科技,HYKJ
000537.XSHE,广宇发展,GYFZ
000538.XSHE,云南白药,YNBY
000539.XSHE,粤电力A,YDLA
000540.XSHE,中天金融,ZTJR
000541.XSHE,佛山照明,FSZM
000543.XSHE,皖能电力,WNDL
000544.XSHE,中原环保,ZYHB
000545.XSHE,金浦钛业,JPTY
000546.XSHE,金圆股份,JYGF
000547.XSHE,航天发展,HTFZ
000548.XSHE,湖南投资,HNTZ
000549.XSHE,S湘火炬,SXHJ
000550.XSHE,江铃汽车,JLQC
000551.XSHE,创元科技,CYKJ
000552.XSHE,靖远煤电,JYMD
000553.XSHE,安道麦A,ADMA
000554.XSHE,泰山石油,TSSY
000555.XSHE,神州信息,SZXX
000557.XSHE,西部创业,XBCY
000558.XSHE,莱茵体育,LYTY
000559.XSHE,万向钱潮,WXQC
000560.XSHE,我爱我家,WAWJ
000561.XSHE,烽火电子,FHDZ
000562.XSHE,宏源证券,HYZQ
000563.XSHE,陕国投A,SGTA
000564.XSHE,*ST大集,*STDJ
000565.XSHE,渝三峡A,YSXA
000566.XSHE,海南海药,HNHY
000567.XSHE,海德股份,HDGF
000568.XSHE,泸州老窖,LZLJ
000569.XSHE,长城股份,CCGF
000570.XSHE,苏常柴A,SCCA
000571.XSHE,ST大洲,STDZ
000572.XSHE,海马汽车,HMQC
000573.XSHE,粤宏远A,YHYA
000576.XSHE,甘化科工,GHKG
000578.XSHE,盐湖集团,YHJT
000581.XSHE,威孚高科,WFGK
000582.XSHE,北部湾港,BBWG
000583.XSHE,S*ST托普,S*STTP
000584.XSHE,哈工智能,HGZN
000585.XSHE,*ST东电,*STDD
000586.XSHE,汇源通信,HYTX
000587.XSHE,*ST金洲,*STJZ
000589.XSHE,贵州轮胎,GZLT
000590.XSHE,启迪药业,QDYY
000591.XSHE,太阳能,TYN
000592.XSHE,平潭发展,PTFZ
000593.XSHE,德龙汇能,DLHN
000594.XSHE,国恒3,GHT
000595.XSHE,宝塔实业,BTSY
000596.XSHE,古井贡酒,GJGJ
000597.XSHE,东北制药,DBZY
000598.XSHE,兴蓉环境,XRHJ
000599.XSHE,青岛双星,QDSX
000600.XSHE,建投能源,JTNY
000601.XSHE,韶能股份,SNGF
000602.XSHE,金马集团,JMJT
000603.XSHE,盛达资源,SDZY
000605.XSHE,渤海股份,BHGF
000606.XSHE,ST顺利,STSL
000607.XSHE,华媒控股,HMKG
000608.XSHE,阳光股份,YGGF
000609.XSHE,*ST中迪,*STZD
000610.XSHE,西安旅游,XALY
000611.XSHE,*ST天首,*STTS
000612.XSHE,焦作万方,JZWF
000613.XSHE,*ST东海A,*STDHA
000615.XSHE,奥园美谷,AYMG
000616.XSHE,ST海投,STHT
000617.XSHE,中油资本,ZYZB
000618.XSHE,吉林化工,JLHG
000619.XSHE,海螺型材,HLXC
000620.XSHE,新华联,XHL
